221,LINE TEST 3,TEST 2
222,LINE TEST 4,TEST 2
003,LINE TEST 5,TEST 2
001,LINE TEST 6,TEST 2
007,LINE TEST 7,TEST 2
002,LINE TEST 8,TEST 2
004,LINE TEST 9,TEST 2
008,LINE TEST 10,TEST 2
159,LINE TEST 11,TEST 2
33140,LINE TEST 12,TEST 2
15900,LINE TEST 13,TEST 2
112,LINE TEST 14,TEST 2
331,LINE TEST 15,TEST 2
344,LINE TEST 16,TEST 2
2,LINE TEST 17,TEST 2
3,LINE TEST 18,TEST 2
4,LINE TEST 19,TEST 2
7,LINE TEST 20,TEST 2
8,LINE TEST 21,TEST 2
315,LINE TEST 22,TEST 2
415,LINE TEST 23,TEST 2
418,LINE TEST 24,TEST 2
42130,LINE TEST 25,TEST 2
344,LINE TEST 26,TEST 2
33330,LINE TEST 27,TEST 2
33340,LINE TEST 28,TEST 2
13310,LINE TEST 29,TEST 2
13330,LINE TEST 30,TEST 2
11210,LINE TEST 31,TEST 2
11220,LINE TEST 32,TEST 2
128,LINE TEST 33,TEST 2
129,LINE TEST 34,TEST 2
131,LINE TEST 35,TEST 2
333,LINE TEST 36,TEST 2
635,LINE TEST 37,TEST 2
631,LINE TEST 38,TEST 2
627,LINE TEST 39,TEST 2
71140,LINE TEST 40,TEST 2
71120,LINE TEST 41,TEST 2
111,LINE TEST 42,TEST 2
1111,LINE TEST 43,TEST 2
11111,LINE TEST 44,TEST 2
314,LINE TEST 45,TEST 2
343,LINE TEST 46,TEST 2
337,LINE TEST 47,TEST 2
338,LINE TEST 48,TEST 2
33190,LINE TEST 49,TEST 2
521,LINE TEST 50,TEST 2
141,LINE TEST 51,TEST 2
412,LINE TEST 52,TEST 2
